Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.17143 %
Validity: 76.80000 % | Diversity: 23.40000 % | Reconstruction: 93.91429 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.12190 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.47810 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.80381 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.80381 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.89333 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.72190 %
Validity: 78.00000 % | Diversity: 22.60000 % | Reconstruction: 94.30857 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.48762 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.99048 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 92.53905 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.96952 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.64381 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 93.14286 %
Validity: 77.00000 % | Diversity: 21.70000 % | Reconstruction: 94.42286 %
Validity: 74.60000 % | Diversity: 21.40000 % | Reconstruction: 94.45714 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 94.22667 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 94.41905 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 94.27429 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 94.06476 %
Validity: 75.10000 % | Diversity: 22.90000 % | Reconstruction: 94.86286 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 94.60571 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 94.56381 %
Validity: 79.10000 % | Diversity: 19.50000 % | Reconstruction: 94.94095 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 94.76381 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 94.33143 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 94.74095 %
Validity: 76.00000 % | Diversity: 21.70000 % | Reconstruction: 95.04952 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 94.79810 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 94.97714 %
Validity: 79.70000 % | Diversity: 22.50000 % | Reconstruction: 95.24762 %
Validity: 76.70000 % | Diversity: 21.80000 % | Reconstruction: 95.33524 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 95.24571 %
Validity: 78.40000 % | Diversity: 21.00000 % | Reconstruction: 95.46857 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 95.09714 %
Validity: 77.40000 % | Diversity: 21.70000 % | Reconstruction: 95.55048 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 95.12762 %
Validity: 74.60000 % | Diversity: 19.70000 % | Reconstruction: 95.56762 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 95.43048 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 94.98667 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 95.49143 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 94.36952 %
Validity: 77.20000 % | Diversity: 23.10000 % | Reconstruction: 95.79429 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 95.73524 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 95.73905 %
Validity: 78.60000 % | Diversity: 24.00000 % | Reconstruction: 96.18667 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 95.72190 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.02667 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 95.93905 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 95.91810 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.08762 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.00381 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.15238 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 95.92190 %
Validity: 77.80000 % | Diversity: 23.00000 % | Reconstruction: 96.27238 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 95.84762 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.14095 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.26857 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 95.92952 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.26857 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.04190 %
Validity: 74.60000 % | Diversity: 22.00000 % | Reconstruction: 96.76571 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.23619 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.64190 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 95.85143 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.71238 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.55429 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.61333 %
Validity: 77.20000 % | Diversity: 22.60000 % | Reconstruction: 96.78095 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.42095 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.76571 %
Validity: 74.90000 % | Diversity: 24.10000 % | Reconstruction: 96.89524 %
Validity: 76.90000 % | Diversity: 23.50000 % | Reconstruction: 96.95238 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.16571 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 96.83238 %
Validity: 78.70000 % | Diversity: 22.60000 % | Reconstruction: 97.18286 %
Validity: -0.10000 % | Diversity: -0.10000 % | Reconstruction: 97.05714 %
Validity: 77.90000 % | Diversity: 23.70000 % | Reconstruction: 97.22476 %
